,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineRate,Expenditure
83,Lincoln,22207.0,Davenport School District,3173.0,Davenport Senior High School,P,12th Grade,46,28,0,18,1,0,0,2,0,0,43,0,0,0,2,27,0,1,0,1,7,46,46,46,44,19,46,46.0,7.0,,,,,5.0,48.0,45.0,3.0,0.0,0.9375,<7%,4675085.2
84,Columbia,7002.0,Dayton School District,2302.0,Dayton High School,P,12th Grade,28,15,0,13,0,1,0,3,0,0,24,0,0,0,1,10,0,0,2,1,1,28,28,28,27,18,28,29.0,7.0,,,,,5.0,31.0,26.0,5.0,0.0,0.8387,<10%,2621473.8
85,Spokane,32414.0,Deer Park School District,4123.0,Deer Park High School,P,12th Grade,158,74,0,84,5,0,2,8,0,4,139,0,0,8,8,76,0,1,10,10,24,158,155,150,150,82,158,163.0,20.0,,1.0,1.0,8.0,17.0,166.0,151.0,5.0,10.0,0.9096,<2%,8254860.0
86,Spokane,32361.0,East Valley School District (Spokane),3360.0,East Valley High School,P,12th Grade,277,138,0,139,3,1,1,41,0,11,220,6,0,6,12,129,0,0,20,15,56,271,276,271,265,148,277,241.0,44.0,3.0,3.0,8.0,21.0,32.0,253.0,204.0,14.0,35.0,0.8063,6.80%,14691248.4
87,Spokane,32361.0,East Valley School District (Spokane),5432.0,EV Online,A,12th Grade,13,3,0,10,0,0,0,0,1,0,12,0,0,0,0,6,0,1,5,1,0,13,13,13,13,7,13,24.0,4.0,,,3.0,9.0,6.0,22.0,8.0,2.0,12.0,0.3636,<10%,748791.7
88,Spokane,32361.0,East Valley School District (Spokane),5433.0,EV Parent Partnership,5,12th Grade,11,6,0,5,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,3,1,11,11,11,11,4,11,11.0,6.0,,,,1.0,7.0,10.0,8.0,1.0,1.0,0.8,<10%,1864972.8
89,Yakima,39090.0,East Valley School District (Yakima),2344.0,East Valley High School,P,12th Grade,224,101,0,123,1,2,1,89,0,2,129,12,0,0,8,105,14,0,11,8,30,212,224,224,216,119,210,217.0,20.0,1.0,2.0,5.0,8.0,12.0,225.0,199.0,10.0,16.0,0.8844,5.90%,11206092.3
90,Douglas,9206.0,Eastmont School District,2727.0,Eastmont Senior High,P,12th Grade,523,243,0,280,1,11,4,234,2,12,259,48,0,13,26,276,64,2,35,19,53,475,521,510,497,247,459,451.0,53.0,1.0,5.0,12.0,42.0,20.0,484.0,407.0,17.0,60.0,0.8409,3.30%,18380167.5
91,Pierce,27404.0,Eatonville School District,2206.0,Eatonville High School,P,12th Grade,144,74,0,70,1,0,1,13,0,11,118,0,0,0,8,57,0,2,3,8,14,144,141,144,136,87,144,154.0,15.0,1.0,,2.0,1.0,27.0,142.0,132.0,6.0,4.0,0.9296,<2%,7204173.1
92,Pierce,27404.0,Eatonville School District,5332.0,ESD New Beginnings,R,12th Grade,5,2,0,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,1,0,5,5,5,5,3,5,14.0,2.0,,1.0,2.0,2.0,1.0,15.0,3.0,7.0,5.0,0.2,Suppressed: N<10,71365.9
93,Snohomish,31015.0,Edmonds School District,1519.0,Edmonds eLearning Academy,A,12th Grade,31,15,0,16,0,2,4,5,1,2,17,1,0,0,0,11,0,0,15,4,4,30,31,31,31,20,31,51.0,7.0,3.0,4.0,6.0,20.0,3.0,55.0,10.0,12.0,33.0,0.1818,<6%,2772899.4
94,Snohomish,31015.0,Edmonds School District,1966.0,Edmonds Heights K-12,A,12th Grade,55,31,0,24,0,3,0,1,0,8,43,0,0,0,0,6,0,0,3,6,3,55,55,55,55,49,55,57.0,13.0,,,1.0,2.0,14.0,56.0,43.0,10.0,3.0,0.7679,<5%,6321022.4
95,Snohomish,31015.0,Edmonds School District,3123.0,Edmonds Woodway High School,P,12th Grade,373,190,0,183,1,62,26,58,1,28,197,18,0,62,6,107,0,0,9,35,43,355,372,311,367,266,373,367.0,51.0,1.0,4.0,5.0,10.0,25.0,393.0,346.0,27.0,20.0,0.8804,<1%,22867921.4
96,Snohomish,31015.0,Edmonds School District,3755.0,Lynnwood High School,P,12th Grade,336,165,1,170,0,81,25,85,1,18,126,39,0,1,6,153,1,1,8,20,57,297,336,335,330,183,335,319.0,51.0,,2.0,6.0,23.0,24.0,346.0,281.0,34.0,31.0,0.8121,3.60%,19843749.7
97,Snohomish,31015.0,Edmonds School District,3464.0,Meadowdale High School,P,12th Grade,348,163,0,185,0,60,21,66,4,26,171,30,0,3,7,117,0,2,10,22,19,318,348,345,341,231,348,342.0,50.0,2.0,2.0,6.0,10.0,26.0,366.0,324.0,22.0,20.0,0.8852,1.60%,19816753.5
98,Snohomish,31015.0,Edmonds School District,3303.0,Mountlake Terrace High School,P,12th Grade,313,146,0,167,0,45,12,38,1,35,182,20,0,22,3,92,0,2,12,28,31,293,311,291,310,221,313,298.0,33.0,,3.0,1.0,7.0,20.0,311.0,288.0,12.0,11.0,0.926,2.10%,19167083.0
99,Snohomish,31015.0,Edmonds School District,3854.0,Scriber Lake High School,A,12th Grade,107,43,1,63,0,8,6,21,3,12,57,7,0,0,8,60,0,0,23,9,47,100,107,107,99,47,107,68.0,3.0,,2.0,5.0,16.0,7.0,64.0,25.0,16.0,23.0,0.3906,5.60%,5495243.5
100,Kittitas,19401.0,Ellensburg School District,2996.0,Ellensburg High School,P,12th Grade,244,128,0,116,0,3,0,36,2,9,194,15,0,9,1,84,1,1,6,10,30,229,244,235,243,160,243,238.0,29.0,1.0,1.0,2.0,5.0,27.0,240.0,225.0,6.0,9.0,0.9375,4.00%,12703442.7
101,Kittitas,19401.0,Ellensburg School District,5097.0,K-12 Ellensburg Learning Center,A,12th Grade,15,8,0,7,0,0,0,4,0,1,10,1,0,0,0,11,1,0,4,1,1,14,15,15,15,4,14,14.0,,,,,1.0,2.0,12.0,7.0,4.0,1.0,0.5833,<10%,469213.3
102,Grays Harbor,14068.0,Elma School District,2137.0,Elma High School,P,12th Grade,97,46,0,51,1,0,0,14,0,10,72,2,0,5,1,72,1,0,6,8,20,95,97,92,96,25,96,86.0,11.0,,2.0,1.0,2.0,12.0,85.0,75.0,5.0,5.0,0.8824,4.00%,7926487.9
103,Chelan,4127.0,Entiat School District,3317.0,Entiat Middle and High School,P,12th Grade,26,9,0,17,0,2,0,8,1,2,13,3,0,0,0,17,0,0,1,0,4,23,26,26,26,9,26,21.0,2.0,,,,4.0,1.0,22.0,18.0,0.0,4.0,0.8182,<10%,2697459.4
104,King,17216.0,Enumclaw School District,3330.0,Enumclaw Sr High School,P,12th Grade,344,165,0,179,2,1,2,49,0,16,274,7,0,0,6,88,1,1,17,16,47,337,344,344,338,256,343,337.0,22.0,4.0,9.0,7.0,23.0,15.0,344.0,288.0,13.0,43.0,0.8372,1.70%,16737527.5
105,Grant,13165.0,Ephrata School District,2920.0,Ephrata High School,P,12th Grade,198,95,0,103,0,1,0,63,0,1,133,14,0,10,13,109,7,0,14,10,14,184,197,188,185,89,191,192.0,27.0,,1.0,2.0,3.0,30.0,189.0,180.0,3.0,6.0,0.9524,3.80%,9972367.3
106,Snohomish,31002.0,Everett School District,3407.0,Cascade High School,P,12th Grade,444,195,0,249,4,72,17,83,8,21,239,36,0,18,17,110,1,0,17,34,72,408,444,426,427,334,443,397.0,46.0,,2.0,2.0,6.0,40.0,403.0,382.0,11.0,10.0,0.9479,3.20%,23698669.1
107,Snohomish,31002.0,Everett School District,2126.0,Everett High School,P,12th Grade,341,171,0,170,2,31,14,62,8,16,208,31,0,9,26,64,1,0,31,21,61,310,339,332,315,277,340,305.0,46.0,1.0,1.0,1.0,2.0,58.0,293.0,287.0,1.0,5.0,0.9795,2.20%,20569874.8
108,Snohomish,31002.0,Everett School District,5330.0,Everett Reengagement Academy,R,12th Grade,60,28,0,32,0,4,3,15,0,4,34,2,0,0,6,28,0,0,20,4,9,58,60,60,54,32,60,82.0,8.0,,1.0,9.0,15.0,0.0,90.0,27.0,38.0,25.0,0.3,<2%,222260.8
109,Snohomish,31002.0,Everett School District,4438.0,Henry M. Jackson High School,P,12th Grade,544,276,0,268,3,124,21,63,0,37,296,25,0,50,14,50,0,0,16,60,46,519,543,494,530,494,544,525.0,44.0,,,1.0,,49.0,520.0,514.0,5.0,1.0,0.9885,2.00%,28484795.1
110,Snohomish,31002.0,Everett School District,1907.0,Port Gardner,A,12th Grade,14,6,0,8,0,0,0,2,0,0,12,1,0,0,0,1,0,0,1,0,0,13,14,14,14,13,14,4.0,12.0,,,,,16.0,0.0,0.0,0.0,0.0,,<10%,1154050.0
111,Snohomish,31002.0,Everett School District,4137.0,Sequoia High School,A,12th Grade,75,45,0,30,0,3,4,20,1,9,38,5,0,0,18,34,2,0,18,2,12,70,74,75,57,41,73,68.0,11.0,,2.0,6.0,7.0,8.0,71.0,52.0,4.0,15.0,0.7324,5.20%,5879560.3
112,Clark,6114.0,Evergreen School District (Clark),2724.0,Evergreen High School,P,12th Grade,438,233,1,204,3,23,9,102,14,33,254,33,0,19,33,245,0,0,25,21,63,405,436,419,405,193,438,395.0,104.0,,3.0,10.0,18.0,81.0,418.0,363.0,24.0,31.0,0.8684,4.20%,21960201.0
113,Clark,6114.0,Evergreen School District (Clark),4523.0,Heritage High School,P,12th Grade,468,242,1,225,5,19,11,114,14,18,287,35,0,14,32,258,0,1,23,21,65,433,465,454,436,210,468,433.0,62.0,1.0,2.0,7.0,35.0,48.0,447.0,394.0,8.0,45.0,0.8814,3.30%,21147533.4
114,Clark,6114.0,Evergreen School District (Clark),4042.0,Legacy High School,A,12th Grade,84,43,0,41,1,1,3,16,1,4,58,3,0,0,13,44,0,0,19,9,16,81,84,84,71,40,84,81.0,9.0,,1.0,12.0,7.0,2.0,88.0,61.0,7.0,20.0,0.6932,2.40%,4530610.4
115,Clark,6114.0,Evergreen School District (Clark),4162.0,Mountain View High School,P,12th Grade,509,233,0,276,5,43,19,133,4,44,261,35,0,39,15,206,3,1,13,21,61,474,508,470,494,303,506,460.0,105.0,,3.0,2.0,6.0,76.0,489.0,471.0,7.0,11.0,0.9632,1.90%,21623688.2
116,Clark,6114.0,Evergreen School District (Clark),5111.0,Union High School,P,12th Grade,503,249,0,254,0,55,15,71,5,31,326,13,0,43,10,134,0,1,10,15,61,490,502,460,493,369,503,478.0,72.0,,,1.0,6.0,59.0,491.0,471.0,13.0,7.0,0.9593,2.10%,23705804.1
117,King,17210.0,Federal Way School District,5163.0,Career Academy at Truman High School,A,12th Grade,30,17,0,13,0,1,4,10,3,3,9,2,0,0,3,22,0,0,6,0,3,28,30,30,27,8,30,31.0,6.0,,,3.0,2.0,3.0,34.0,17.0,12.0,5.0,0.5,12.80%,2017289.7
118,King,17210.0,Federal Way School District,3766.0,Decatur High School,P,12th Grade,339,160,0,179,1,38,47,81,17,32,123,30,0,26,7,173,1,4,20,20,48,309,339,313,332,166,338,339.0,46.0,4.0,2.0,2.0,12.0,63.0,322.0,289.0,13.0,20.0,0.8975,1.40%,18536814.0
119,King,17210.0,Federal Way School District,2417.0,Federal Way High School,P,12th Grade,372,196,0,176,2,44,77,118,31,28,72,43,0,25,8,231,1,5,11,3,49,329,370,347,364,141,371,362.0,48.0,1.0,5.0,13.0,20.0,29.0,381.0,333.0,9.0,39.0,0.8740000000000001,7.10%,22258224.1
120,King,17210.0,Federal Way School District,1759.0,Internet Academy,5,12th Grade,60,33,0,27,1,2,3,13,1,5,35,0,0,0,1,17,0,0,17,0,1,60,60,60,59,43,60,59.0,14.0,2.0,6.0,5.0,12.0,23.0,50.0,21.0,4.0,25.0,0.42,<3%,4380071.5
121,King,17210.0,Federal Way School District,5348.0,Open Doors Youth Reengagement (1418),R,12th Grade,258,129,0,129,4,9,57,87,17,29,55,38,0,0,22,152,0,1,75,9,39,220,257,258,236,106,258,114.0,19.0,,,14.0,33.0,8.0,125.0,22.0,56.0,47.0,0.17600000000000002,1.00%,3310022.5
122,King,17210.0,Federal Way School District,3584.0,Thomas Jefferson High School,P,12th Grade,455,229,0,226,0,99,66,116,11,43,120,62,0,55,9,247,0,2,7,6,46,393,452,400,446,208,455,410.0,88.0,10.0,2.0,,21.0,44.0,454.0,411.0,10.0,33.0,0.9053,3.20%,22472058.0
123,King,17210.0,Federal Way School District,4570.0,Todd Beamer High School,P,12th Grade,372,191,0,181,2,65,47,82,16,39,121,38,0,17,7,191,0,2,14,18,49,334,371,355,365,181,372,347.0,65.0,3.0,4.0,11.0,7.0,47.0,365.0,323.0,17.0,25.0,0.8849,6.00%,20154022.6
124,Whatcom,37502.0,Ferndale School District,2488.0,Ferndale High School,P,12th Grade,380,192,0,188,20,20,0,72,0,24,244,11,0,201,7,144,6,4,16,13,57,369,379,179,373,236,374,336.0,60.0,3.0,12.0,5.0,20.0,46.0,350.0,295.0,15.0,40.0,0.8429,<1%,19697202.0
125,Pierce,27417.0,Fife School District,2773.0,Fife High School,P,12th Grade,275,128,0,147,2,22,13,55,16,28,139,26,0,22,10,125,0,0,12,7,32,249,275,253,265,150,275,246.0,36.0,,1.0,2.0,2.0,26.0,256.0,241.0,10.0,5.0,0.9414,3.40%,11608828.9
126,Benton,3053.0,Finley School District,2367.0,River View High School,P,12th Grade,81,28,0,53,0,0,0,39,0,2,40,10,0,2,2,65,5,0,9,0,14,71,81,79,79,16,76,69.0,10.0,,1.0,3.0,8.0,14.0,65.0,51.0,2.0,12.0,0.7846,6.70%,4202154.1
127,Pierce,27402.0,Franklin Pierce School District,2876.0,Franklin Pierce High School,P,12th Grade,247,117,0,130,0,22,16,53,12,22,122,13,0,113,6,148,0,1,10,8,31,234,246,134,241,99,247,239.0,34.0,,3.0,1.0,6.0,29.0,244.0,227.0,7.0,10.0,0.9303,5.70%,18230034.1
128,Pierce,27402.0,Franklin Pierce School District,4063.0,Gates Secondary School,A,12th Grade,61,31,0,30,0,0,5,13,8,11,24,2,0,0,10,53,0,3,19,6,4,59,60,61,51,8,61,65.0,13.0,,,4.0,4.0,3.0,75.0,59.0,8.0,8.0,0.7867,5.00%,3232801.7
129,Pierce,27402.0,Franklin Pierce School District,3648.0,Washington High School,P,12th Grade,235,120,0,115,4,9,25,61,27,24,85,11,0,111,14,191,0,4,13,7,35,224,234,124,221,44,235,237.0,43.0,1.0,2.0,2.0,8.0,43.0,237.0,207.0,17.0,13.0,0.8734,4.80%,15449552.3
130,Whitman,38302.0,Garfield School District,1962.0,Garfield at Palouse High School,P,12th Grade,10,4,0,6,0,0,0,2,0,0,8,0,0,0,0,2,0,0,0,2,1,10,10,10,10,8,10,10.0,1.0,,,,1.0,1.0,10.0,9.0,0.0,1.0,0.9,<10%,153215.5
131,Klickitat,20404.0,Goldendale School District,2856.0,Goldendale High School,P,12th Grade,65,30,0,35,4,0,1,10,0,1,49,1,0,6,2,32,3,0,4,7,6,64,65,59,63,33,62,67.0,25.0,1.0,,1.0,4.0,24.0,68.0,60.0,2.0,6.0,0.8824,<4%,4544420.6
132,Grant,13301.0,Grand Coulee Dam School District,5336.0,Lake Roosevelt Alternative School,A,12th Grade,11,4,0,7,7,0,0,0,0,1,3,0,0,0,2,7,0,0,6,0,2,11,11,11,9,4,11,14.0,5.0,,,,3.0,1.0,18.0,6.0,9.0,3.0,0.3333,<10%,293456.1
133,Yakima,39200.0,Grandview School District,1776.0,Contract Learning Center,A,12th Grade,6,4,0,2,0,0,0,3,0,0,3,1,0,0,4,4,0,0,2,0,0,5,6,6,2,2,6,14.0,1.0,,,1.0,3.0,1.0,14.0,2.0,8.0,4.0,0.1429,<10%,665308.3
134,Yakima,39200.0,Grandview School District,2555.0,Grandview High School,P,12th Grade,193,100,0,93,0,1,1,172,0,0,19,26,0,0,7,155,20,0,8,4,14,167,192,193,186,38,173,209.0,7.0,,4.0,,6.0,19.0,197.0,178.0,9.0,10.0,0.9036,2.00%,11980981.9
135,Yakima,39204.0,Granger School District,3314.0,Granger High School,P,12th Grade,108,54,0,54,2,0,0,101,0,0,5,23,0,2,6,87,29,0,4,0,12,85,108,106,102,21,79,109.0,10.0,1.0,6.0,5.0,2.0,6.0,113.0,92.0,7.0,14.0,0.8142,5.50%,6621263.6
136,Snohomish,31332.0,Granite Falls School District,5171.0,Crossroads High School,A,12th Grade,72,32,0,40,0,0,0,14,2,4,52,4,0,1,27,45,0,0,4,9,17,68,69,71,45,27,72,65.0,8.0,,,,8.0,4.0,69.0,34.0,27.0,8.0,0.4928,<3%,2633504.7
137,Snohomish,31332.0,Granite Falls School District,2580.0,Granite Falls High School,P,12th Grade,117,59,0,58,0,0,2,11,0,8,96,2,0,6,13,38,0,1,10,2,16,115,117,111,104,79,117,108.0,10.0,,2.0,1.0,5.0,11.0,107.0,95.0,4.0,8.0,0.8879,6.20%,7705492.0
138,Yakima,39203.0,Highland School District,4559.0,Highland High School,P,12th Grade,94,46,0,48,1,0,0,62,0,1,30,10,0,5,5,69,7,1,1,3,7,84,92,89,89,25,87,97.0,8.0,,,3.0,3.0,11.0,94.0,80.0,8.0,6.0,0.8511,<3%,4723855.4
139,King,17401.0,Highline School District,3099.0,Evergreen High School,P,12th Grade,247,123,0,124,2,67,33,96,8,15,26,61,0,1,18,178,2,0,14,4,64,186,246,246,229,69,245,183.0,37.0,,,6.0,4.0,11.0,209.0,174.0,25.0,10.0,0.8325,3.80%,14110709.7
140,King,17401.0,Highline School District,2325.0,Highline High School,P,12th Grade,298,144,0,154,4,61,15,132,10,21,55,53,0,28,12,192,0,0,31,11,40,245,296,270,286,106,298,254.0,48.0,4.0,9.0,6.0,9.0,30.0,272.0,222.0,22.0,28.0,0.8162,2.50%,15495513.8
141,King,17401.0,Highline School District,5370.0,Highline Open Doors 1418,R,12th Grade,287,152,0,135,4,19,44,121,5,23,71,53,0,1,7,97,0,0,80,13,23,234,283,286,280,190,287,160.0,43.0,1.0,4.0,20.0,103.0,6.0,197.0,18.0,51.0,128.0,0.0914,<1%,5731980.8
142,King,17401.0,Highline School District,3279.0,Mount Rainier High School,P,12th Grade,403,198,0,205,2,64,53,103,13,29,139,40,0,24,17,220,0,0,27,21,56,363,402,379,386,183,403,345.0,54.0,,4.0,5.0,4.0,35.0,364.0,320.0,31.0,13.0,0.8791,<1%,20816380.1
143,King,17401.0,Highline School District,1972.0,New Start,A,12th Grade,58,24,0,34,1,3,9,29,4,3,9,15,0,0,6,45,0,0,16,2,14,43,57,58,52,13,58,34.0,3.0,,2.0,2.0,8.0,1.0,36.0,14.0,10.0,12.0,0.3889,12.10%,3300652.7
144,King,17401.0,Highline School District,3483.0,Tyee High School,P,12th Grade,254,123,0,131,3,38,48,109,14,9,33,74,0,1,29,193,1,0,32,4,47,180,254,253,225,61,253,160.0,49.0,,,8.0,11.0,7.0,202.0,163.0,20.0,19.0,0.8069,<1%,14109657.9
145,Clark,6098.0,Hockinson School District,4568.0,Hockinson High School,P,12th Grade,152,66,0,86,1,2,0,8,0,1,140,1,0,19,1,21,0,2,2,6,6,151,152,133,151,131,152,149.0,16.0,,,1.0,5.0,16.0,149.0,141.0,2.0,6.0,0.9463,<2%,7564511.9
146,Grays Harbor,14028.0,Hoquiam School District,3622.0,Hoquiam High School,P,12th Grade,112,51,0,61,6,2,1,16,0,3,84,0,0,5,12,57,0,0,7,5,14,112,112,107,100,55,112,101.0,16.0,,,2.0,3.0,11.0,106.0,93.0,8.0,5.0,0.8774,5.00%,7385948.2
147,Ferry,10070.0,Inchelium School District,2603.0,Inchelium High School,P,12th Grade,17,8,0,9,14,1,0,0,0,2,0,4,0,0,0,13,0,0,4,1,3,13,17,17,17,4,17,18.0,,,1.0,,2.0,1.0,17.0,10.0,4.0,3.0,0.5882,<10%,1798514.6
148,King,17411.0,Issaquah School District,5437.0,Gibson Ek High School,P,12th Grade,18,9,0,9,1,4,0,0,0,1,12,0,0,0,0,0,0,0,1,2,4,18,18,18,18,18,18,22.0,,,1.0,,1.0,1.0,21.0,16.0,3.0,2.0,0.7619,<10%,3139400.0
149,King,17411.0,Issaquah School District,3385.0,Issaquah High School,P,12th Grade,599,279,0,320,3,154,10,45,3,32,352,18,0,14,3,51,0,3,9,59,49,581,599,585,596,548,599,563.0,80.0,6.0,4.0,6.0,18.0,61.0,582.0,533.0,15.0,34.0,0.9158,1.50%,30322946.0
150,King,17411.0,Issaquah School District,3962.0,Liberty Sr High School,P,12th Grade,328,152,0,176,0,66,5,40,0,12,205,8,0,11,2,27,0,2,6,31,35,320,328,317,326,301,328,305.0,33.0,4.0,3.0,8.0,4.0,28.0,310.0,286.0,5.0,19.0,0.9226,1.50%,19330838.5
151,King,17411.0,Issaquah School District,4495.0,Skyline High School,P,12th Grade,516,233,0,283,0,157,13,45,1,21,279,8,0,19,2,21,0,1,8,51,36,508,515,497,514,495,516,502.0,39.0,8.0,1.0,3.0,5.0,41.0,500.0,467.0,16.0,17.0,0.934,<1%,27726462.6
152,Cowlitz,8402.0,Kalama School District,5545.0,Kalama High School,P,12th Grade,79,32,0,47,1,0,3,5,0,4,66,0,0,0,2,25,0,0,6,4,11,79,79,79,77,54,79,65.0,9.0,,,2.0,1.0,5.0,69.0,60.0,6.0,3.0,0.8696,<4%,4691576.2
153,Cowlitz,8458.0,Kelso School District,2266.0,Kelso High School,P,12th Grade,443,206,0,237,10,6,1,66,1,37,322,15,0,25,21,228,2,0,34,18,45,428,442,418,422,215,441,361.0,43.0,,1.0,6.0,24.0,44.0,360.0,329.0,0.0,31.0,0.9139,2.90%,20759906.9
154,Cowlitz,8458.0,Kelso School District,1934.0,Loowit High School,A,12th Grade,13,7,0,6,0,0,0,1,0,0,12,2,0,0,3,9,0,0,4,2,1,11,13,13,10,4,13,10.0,2.0,,,5.0,1.0,1.0,11.0,2.0,3.0,6.0,0.1818,14.30%,53101.0
155,Benton,3017.0,Kennewick School District,3731.0,Kamiakin High School,P,12th Grade,440,207,1,232,2,9,22,130,1,6,270,17,0,0,2,157,43,1,27,12,41,423,440,440,438,283,397,395.0,66.0,,1.0,5.0,7.0,53.0,408.0,348.0,47.0,13.0,0.8529,1.70%,20803469.8
156,Benton,3017.0,Kennewick School District,2826.0,Kennewick High School,P,12th Grade,367,166,0,201,4,11,8,180,1,11,152,47,0,0,11,246,77,0,18,7,40,320,367,367,356,121,290,359.0,45.0,4.0,6.0,10.0,13.0,48.0,356.0,313.0,10.0,33.0,0.8792,5.00%,20768173.5
157,Benton,3017.0,Kennewick School District,1884.0,Legacy High School,A,12th Grade,102,50,0,52,3,1,1,37,1,4,55,3,0,0,6,64,10,0,37,5,4,99,100,102,96,38,92,132.0,22.0,,5.0,33.0,58.0,5.0,149.0,19.0,34.0,96.0,0.1275,2.30%,4850272.9
158,Benton,3017.0,Kennewick School District,1941.0,Mid-Columbia Parent Partnership,A,12th Grade,20,10,0,10,0,0,0,1,0,0,19,0,0,0,0,6,0,0,1,2,1,20,20,20,20,14,20,17.0,2.0,,,1.0,2.0,2.0,17.0,14.0,0.0,3.0,0.8235,<10%,2354549.3
159,Benton,3017.0,Kennewick School District,5106.0,Phoenix High School,A,12th Grade,23,12,1,10,1,0,0,9,0,0,13,3,0,0,3,18,2,0,2,4,4,20,22,23,20,5,21,17.0,1.0,,,,2.0,0.0,18.0,6.0,10.0,2.0,0.3333,25.90%,972648.2
160,Benton,3017.0,Kennewick School District,4484.0,Southridge High School,P,12th Grade,415,200,0,215,1,7,12,135,0,17,243,33,0,0,8,193,51,1,24,9,47,382,414,415,407,222,364,389.0,45.0,1.0,1.0,12.0,16.0,36.0,398.0,337.0,31.0,30.0,0.8467,6.40%,19881427.3
161,King,17415.0,Kent School District,5275.0,Individualized Graduation & Degree Program,R,12th Grade,273,132,0,141,2,18,46,82,12,22,91,23,0,0,6,143,1,1,116,12,28,250,272,273,267,130,272,197.0,20.0,,,29.0,124.0,7.0,210.0,3.0,54.0,153.0,0.0143,<1%,2797102.6
162,King,17415.0,Kent School District,2797.0,Kent-Meridian High School,P,12th Grade,457,237,0,220,0,107,92,131,20,24,83,100,0,16,7,317,2,0,26,11,43,357,457,441,450,140,455,416.0,91.0,10.0,12.0,11.0,32.0,56.0,451.0,350.0,36.0,65.0,0.7761,1.80%,25447575.1
163,King,17415.0,Kent School District,5098.0,Kent Phoenix Academy,A,12th Grade,122,61,0,61,1,8,21,34,4,15,39,3,0,0,8,69,0,0,29,17,15,119,122,122,114,53,122,97.0,9.0,,3.0,3.0,8.0,8.0,98.0,48.0,36.0,14.0,0.4898,5.80%,4199447.2
164,King,17415.0,Kent School District,4492.0,Kentlake High School,P,12th Grade,372,173,0,199,4,37,30,64,5,28,204,30,0,19,4,132,3,0,17,19,38,342,371,353,368,240,369,341.0,41.0,1.0,6.0,3.0,29.0,37.0,345.0,284.0,22.0,39.0,0.8232,3.10%,18208831.1
165,King,17415.0,Kent School District,3640.0,Kentridge High School,P,12th Grade,527,260,0,267,0,162,47,63,11,55,189,31,0,50,5,159,0,1,21,38,38,496,522,477,522,368,527,481.0,55.0,1.0,5.0,6.0,20.0,27.0,509.0,451.0,26.0,32.0,0.8861,1.30%,24919240.9
166,King,17415.0,Kent School District,4128.0,Kentwood High School,P,12th Grade,461,217,0,244,6,117,44,82,9,35,168,20,0,54,9,188,1,1,13,26,38,441,461,407,452,273,460,452.0,51.0,4.0,5.0,3.0,8.0,55.0,448.0,414.0,14.0,20.0,0.9241,1.20%,24073766.4
